alpha,max_depth,initial_length,density_weight,density_depth_weight,density_direction_weight,density_survival_weight,density_angle_span,density_horizon_weight,edges,terminals,length,occupied_grid_coverage,coverage_dispersion,terminal_density_score,matched_terminal_density_score,density_lift_over_random,search_score
0.76,6,0.26,0.6,0.5,0.5,0.05,1.5,0.5,52.6,24.533333333333335,5.589081161351169,0.05464135021097047,0.07555221820114702,0.1522880546895136,0.14999451183879423,-0.012589492904087615,0.2665873198440575
0.76,6,0.26,0.6,0.5,0.5,0.05,1.5,0.0,51.93333333333333,24.333333333333332,5.531751758949036,0.05632911392405063,0.045160208367489976,0.1410582258387027,0.1383216119587112,-0.024564228072752724,0.25251790581694655
0.76,6,0.26,0.6,0.75,0.5,0.05,1.5,0.5,53.53333333333333,24.8,5.6460617065704115,0.055063291139240515,0.07470871458886282,0.14951545407953232,0.14631796580472328,-0.01588132966801552,0.2508062067627304
0.76,6,0.26,0.6,0.75,0.5,0.05,1.5,0.0,52.2,24.4,5.544789041299457,0.05632911392405063,0.04573196002221361,0.13895434817800467,0.1361612328537829,-0.026664121605017407,0.24337086273855418
0.76,6,0.26,0.6,0.5,0.5,0.05,1.0,0.5,52.13333333333333,24.533333333333335,5.540407663307434,0.055063291139240515,0.07773268417420023,0.14613745704594813,0.14185380514007698,-0.019567811413748335,0.24037716597763834
0.76,6,0.26,0.6,0.5,0.5,0.05,1.0,1.0,52.53333333333333,24.666666666666668,5.571817274059435,0.05358649789029536,0.07639429047762249,0.14495921470097736,0.14250542450426668,-0.020557766924897154,0.23302006774546374
0.76,6,0.26,0.6,0.5,0.7,0.05,1.0,0.5,52.0,24.6,5.522648610439168,0.05337552742616034,0.0768872885166334,0.1425207314247679,0.13944805781949113,-0.023396832250292574,0.22319081321533435
0.76,6,0.26,0.6,0.75,0.5,0.05,1.0,1.0,53.0,24.666666666666668,5.5917106170265605,0.053164556962025315,0.07708817617332962,0.14042557239907158,0.13761982896743982,-0.024822511548651116,0.21548003099048108
0.76,6,0.26,0.6,0.5,0.7,0.05,1.0,1.0,52.333333333333336,24.466666666666665,5.557244675582635,0.054008438818565416,0.08002663659389811,0.13868053299359348,0.1368610302045419,-0.027062688009341154,0.21472095833294252
0.76,6,0.26,0.6,0.5,0.9,0.05,1.5,0.5,54.46666666666667,25.266666666666666,5.751633265628501,0.0550632911392405,0.04835060125071001,0.14113099650425423,0.13708167986186698,-0.025958116135737428,0.211334285037106
0.76,6,0.26,0.6,0.5,0.7,0.05,1.5,0.0,53.4,25.0,5.6413688656199685,0.054430379746835435,0.04992443358710294,0.1341405052395358,0.1319178467049076,-0.03099846319280704,0.20785268639635548
0.76,6,0.26,0.6,0.5,0.7,0.05,1.5,1.0,54.2,25.066666666666666,5.721870384775168,0.05485232067510548,0.07767012331181539,0.13838129292614557,0.1389687537871875,-0.026531404103613217,0.20768460445117604
