dataset,image,method,refinement,height,width,gt_vessel_pixels,pred_vessel_pixels,removed_short_components,removed_disconnected_components,dice,iou,sensitivity,specificity,precision,fp_pixels,fn_pixels,fp_over_gt_area,fn_over_gt_area,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,terminal_fp_pixels,terminal_fn_pixels,terminal_fp_over_gt_area,terminal_fn_over_gt_area,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count,pred_skeleton_pixels,gt_skeleton_pixels,skeleton_overlap,pred_skeleton_components,gt_skeleton_components,component_ratio,pruned_pred_skeleton_pixels,pruned_gt_skeleton_pixels,pruned_skeleton_overlap,pruned_pred_skeleton_components,pruned_gt_skeleton_components,pruned_component_ratio,pred_to_gt_skeleton_distance_mean,pred_to_gt_skeleton_distance_p95,gt_to_pred_skeleton_distance_mean,gt_to_pred_skeleton_distance_p95,skeleton_precision_radius_3,skeleton_recall_radius_3,skeleton_distance_f1_radius_3,skeleton_precision_radius_5,skeleton_recall_radius_5,skeleton_distance_f1_radius_5
HRF,01_dr.jpg,baseline,raw,800,1200,48921,180291,0,0,0.37540791930614453,0.2310782649794831,0.8794587191594612,0.8493357875661716,0.23863642666577922,137267,5897,2.8058911305983116,0.12054128084053883,0.8493956910141881,0.7382170259408111,0.7382170259408111,1.0,1.0,0,1433,0.0,0.2617829740591889,986,3514,0.6795131845841785,0.1323278315310188,316,41322,16215,0.3137835337650324,15375,6746,2.279128372368811,27864,13546,0.3169201240218515,9879,5556,1.7780777537796977,13.19842253013878,38.3275357934736,1.163255531412613,3.605551275463989,0.4011180484971686,0.9406105457909343,0.5624026619537055,0.4297468660761822,0.9716312056737588,0.5959212207433884
HRF,01_dr.jpg,baseline,structure_filtered,800,1200,48921,105459,24,213,0.5335017489312087,0.36379296636896086,0.8417857361869135,0.929448489099189,0.39049298779620517,64278,7740,1.3139142699454223,0.1582142638130864,0.764334085778781,0.618560467665327,0.618560467665327,1.0,1.0,0,2088,0.0,0.381439532334673,986,692,0.33468559837728196,0.25578034682080925,656,20538,16215,0.282022818378045,7720,6746,1.1443818559146162,17649,13546,0.2990550716078547,6520,5556,1.1735061195104393,6.034859682135149,29.274562336608895,4.4422326486582495,29.68164415931166,0.7014801830752752,0.8401480111008326,0.76457758474287,0.7343947804070503,0.8644465001541782,0.7941313567179429
HRF,01_dr.jpg,multiscale_line,raw,800,1200,48921,183234,0,0,0.37442226098942516,0.23033180881113766,0.888411929437256,0.8465863004196124,0.23719397055131689,139772,5459,2.8570961345843298,0.11158807056274402,0.8537325934457125,0.7447935696017537,0.7447935696017537,1.0,1.0,0,1397,0.0,0.25520643039824625,986,3532,0.691683569979716,0.13221970554926388,304,41960,16215,0.3139068763490595,15477,6746,2.294248443522087,28414,13546,0.3170677690831242,9971,5556,1.7946364290856731,13.245095305086563,38.213214952531494,1.1649802677960617,3.605551275463989,0.3959008579599619,0.9394387912426765,0.5570487234104519,0.424952335557674,0.9711995066296639,0.5912157777740593
HRF,01_dr.jpg,multiscale_line,structure_filtered,800,1200,48921,114130,31,203,0.5233822546319863,0.35444667807479524,0.8722021217881891,0.9215644307464007,0.373863138526242,71461,6252,1.460742830277386,0.12779787821181088,0.7827440515899489,0.6430398246255024,0.6430398246255024,1.0,1.0,0,1954,0.0,0.35696017537449765,986,731,0.3539553752535497,0.2558139534883721,637,22451,16215,0.2939253777366636,8373,6746,1.2411799584939223,19376,13546,0.3107928539790344,7103,5556,1.2784377249820014,6.937321801790768,31.25699921617557,2.893563600398117,17.204650534085253,0.6732884949445459,0.877890841813136,0.7620960253963227,0.7079417397888735,0.9045945112550108,0.7942769803615534
HRF,01_dr.jpg,clean_recovery,raw,800,1200,48921,186095,0,0,0.37308949177928313,0.22932391787629136,0.8961591136730648,0.8438620580652172,0.23558397592627423,142254,5080,2.907830992825167,0.10384088632693526,0.8563668651415439,0.7488125685056631,0.7488125685056631,1.0,1.0,0,1375,0.0,0.25118743149433687,986,3500,0.6845841784989858,0.134,311,41735,16215,0.3090348442799877,15403,6746,2.283278980136377,28417,13546,0.31204783699985233,9978,5556,1.7958963282937366,13.19886780554144,38.27531841800928,1.17715492737583,3.605551275463989,0.39793937941775487,0.9394387912426765,0.5590635435651906,0.4274589672936384,0.9711378353376503,0.5936258046811076
HRF,01_dr.jpg,clean_recovery,structure_filtered,800,1200,48921,115013,33,205,0.5242231629802238,0.3552184516182367,0.8783344575948979,0.9209245301450258,0.3736012450766435,72044,5952,1.4726600028617567,0.1216655424051021,0.7811177911378312,0.6408476434051882,0.6408476434051882,1.0,1.0,0,1966,0.0,0.3591523565948118,986,724,0.3488843813387424,0.2527624309392265,642,21617,16215,0.28781991982732036,8027,6746,1.189890305366143,18583,13546,0.3049608740587627,6780,5556,1.2203023758099352,6.086866359671247,29.068883707497267,2.971776321052077,17.804493814764857,0.6950085580792894,0.8749306197964848,0.7746596518560035,0.7287320164685201,0.9005858772741289,0.8055957218287415
HRF,01_dr.jpg,connected_recovery,raw,800,1200,48921,196473,0,0,0.3608238180232606,0.22012509819910303,0.9049692361153697,0.8329442342541097,0.22533376087299528,152201,4649,3.1111588070562743,0.09503076388463032,0.8624272651704074,0.7581293386919985,0.7581293386919985,1.0,1.0,0,1324,0.0,0.24187066130800147,986,3518,0.6835699797160243,0.13018760659465606,312,43026,16215,0.3090348442799877,15561,6746,2.306700266824785,29786,13546,0.31381957773512476,10219,5556,1.8392728581713462,13.227183192787487,38.01315561749642,1.1787892693272868,3.605551275463989,0.39071724073815833,0.9396854764107309,0.5519401182399022,0.423302189373867,0.9710144927536232,0.5895827912912837
HRF,01_dr.jpg,connected_recovery,structure_filtered,800,1200,48921,135343,26,177,0.47685928884643775,0.31307632010261527,0.8980601377731444,0.8996695127425832,0.3246122813887678,91409,4987,1.8685022791848083,0.10193986222685554,0.8255739111778588,0.7029594446474242,0.7029594446474242,1.0,1.0,0,1626,0.0,0.2970405553525758,986,905,0.43509127789046653,0.24751381215469614,557,25326,16215,0.29374036386062286,9254,6746,1.3717758671805513,21598,13546,0.3069540823859442,7704,5556,1.386609071274298,7.589983848669468,30.528675044947494,2.05910844397385,8.0,0.6214167258943378,0.9043478260869565,0.7366495235806322,0.6605069888651979,0.9317298797409805,0.7730182731444635
HRF,01_g.jpg,baseline,raw,800,1200,64230,144531,0,0,0.5364890951854034,0.3665767664733376,0.8718511598941304,0.9011665941033971,0.38745321072987804,88532,8231,1.3783590222637396,0.12814884010586952,0.813301282051282,0.6853477380148548,0.6853477380148548,1.0,1.0,0,3262,0.0,0.3146522619851452,1516,2345,0.7361477572559367,0.320682302771855,400,33068,22061,0.3284982548388559,12293,8719,1.4099093932790459,23874,17868,0.3395455563017685,8614,6946,1.2401382090411748,6.835421225144106,26.419689627245813,1.4523776239920763,6.4031242374328485,0.6174549413330108,0.8939304655274013,0.7304050715887194,0.6484819160517721,0.9315534200625538,0.7646608059188822
HRF,01_g.jpg,baseline,structure_filtered,800,1200,64230,98043,6,121,0.6542431581347482,0.4861525780749153,0.8264518137941772,0.9498085446040836,0.5414257009679426,44960,11147,0.6999844309512688,0.17354818620582282,0.7080815004050096,0.5480852705700782,0.5480852705700782,1.0,1.0,0,4685,0.0,0.4519147294299219,1516,376,0.2843007915567282,0.5212765957446809,1085,19543,22061,0.2823534744571869,7372,8719,0.8455098061704324,17872,17868,0.315368256100291,6696,6946,0.9640080621940685,2.777700192480894,16.0,5.630149119000863,32.64965543462902,0.8554981323235942,0.7563120438783374,0.802853277073115,0.8789336335260707,0.7830560718009156,0.8282293400935605
HRF,01_g.jpg,multiscale_line,raw,800,1200,64230,146889,0,0,0.5364273229789834,0.366519088119927,0.8815973843998132,0.8992330620583409,0.3854951698221106,90264,7605,1.4053246146660439,0.11840261560018683,0.8174974335576594,0.6913282531108325,0.6913282531108325,1.0,1.0,0,3200,0.0,0.30867174688916754,1516,2340,0.7341688654353562,0.3217948717948718,403,33187,22061,0.33207923484882823,12237,8719,1.4034866383759605,24043,17868,0.3455898813521379,8591,6946,1.2368269507630292,6.8320561313532915,26.459390100996796,1.4386329917256744,6.324555320336759,0.6165365956549251,0.8956076333801731,0.7303203897145711,0.6480850935607316,0.9323693395584969,0.7646594017498528
HRF,01_g.jpg,multiscale_line,structure_filtered,800,1200,64230,100785,5,118,0.651358967366603,0.4829743064355234,0.8367118169079869,0.9474831709032453,0.5332341122190802,47043,10488,0.7324147594581971,0.16328818309201307,0.7138514980460269,0.5550303848750844,0.5550303848750844,1.0,1.0,0,4613,0.0,0.4449696151249156,1516,381,0.28825857519788917,0.5275590551181102,1079,19778,22061,0.2863424142151308,7353,8719,0.8433306571854571,18082,17868,0.3204611596149541,6681,6946,0.9618485459257127,2.815106861706631,16.0,5.450862154161253,31.622776601683793,0.8515016685205784,0.7611169031322242,0.8037763229925631,0.8761755485893417,0.7880422464983455,0.8297752249439021
HRF,01_g.jpg,clean_recovery,raw,800,1200,64230,150494,0,0,0.5333917028371304,0.36369063496297427,0.8915771446364628,0.8959241769650692,0.3805201536273871,93228,6964,1.451471275105091,0.10842285536353728,0.8203902827558741,0.6954760297096556,0.6954760297096556,1.0,1.0,0,3157,0.0,0.30452397029034434,1516,2324,0.7282321899736148,0.3205679862306368,412,33193,22061,0.33226055029237117,12205,8719,1.3998164927170547,24138,17868,0.34704499664204164,8578,6946,1.2349553699971207,6.816674089094049,26.40075756488817,1.4390008856290972,6.324555320336759,0.6179616184135209,0.8957889488237161,0.7313796612903862,0.6492031452414666,0.9322786818367255,0.7654065220694394
