dataset,image,height,width,gt_vessel_pixels,pred_vessel_pixels,dice,iou,sensitivity,specificity,precision,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count
AFIO,IM000001.png,1000,1504,144768,172711,0.5310083501585932,0.361478126996788,0.5822557471264368,0.9349492948959413,0.488052295453098,0.33541945010899377,0.20150388644812436,0.29437176005924465,0.9975038405024942,0.3897695701912077,137,2907,0.8029197080291971,0.08152734778121776,27
AFIO,IM000004.png,1000,1504,87490,172974,0.48706155169236437,0.3219308440718052,0.7250085724082752,0.9226669772892532,0.3667082914195197,0.31365227537922985,0.18599501799058954,0.3661127758104059,0.9976305197060111,0.2743417023882425,93,3069,0.8064516129032258,0.044965786901270774,18
AFIO,IM000023.png,1000,1504,63542,167371,0.32815822409305667,0.19628545525191038,0.5962670359762047,0.9101098400647571,0.226371354655227,0.24129296608240383,0.1371990680818017,0.25517573423206547,0.9988108578136162,0.22884283246977546,54,3203,0.7037037037037037,0.023103340618170466,16
AFIO,IM000024.png,1000,1504,75645,159296,0.3949076576672441,0.2460342294657679,0.6132593033247405,0.9209538245044124,0.29121886299718763,0.2846789389766633,0.16596248098698665,0.28924889543446247,0.9983193445310391,0.2802511415525114,90,3370,0.6222222222222222,0.03086053412462908,34
AFIO,IM000135.png,1000,1504,151247,174296,0.5538561726100699,0.38298830456559513,0.5960581036318076,0.9377979572028301,0.5172350484233718,0.3030973451327434,0.17861799217731422,0.2954623878536922,0.9949189497778087,0.31113735465116277,292,2772,0.7054794520547946,0.14646464646464646,86
AFIO,IM000136.png,1000,1504,160219,177890,0.5528394689286591,0.3820166851284902,0.5833265717549104,0.937169821570628,0.5253808533363314,0.34207980652962516,0.2063306833928962,0.2695826186392224,0.9978460079838983,0.4679126695335759,145,2862,0.7862068965517242,0.0737246680642907,31
AFIO,IM000167.png,1000,1504,103786,167734,0.4956246317030053,0.32945542857702437,0.6483148016110073,0.92826239417689,0.4011470542644902,0.30563002680965146,0.18037974683544303,0.2735687350017141,0.9979882069143206,0.3462039045553145,100,2653,0.7,0.047493403693931395,30
AFIO,IM000168.png,1000,1504,117348,154296,0.5579876603201249,0.38695068340677125,0.645831202917817,0.9433823338516081,0.4911792917509203,0.2767455505574027,0.16059471115650892,0.24863820066772097,0.997917652500252,0.31201764057331866,131,2168,0.6793893129770993,0.07841328413284133,42
AFIO,IM000189.png,1000,1504,119816,197844,0.4869546055531071,0.32183740642567943,0.6455147893436602,0.9129443773371171,0.39092921695881605,0.28495142030705334,0.1661477253070403,0.2809711861927746,0.9968440310106514,0.28904604273247064,148,2953,0.7297297297297297,0.06840501185235354,40
AFIO,IM000209.png,1000,1504,85779,181015,0.42945493526840933,0.2734432426756274,0.6678557688944846,0.9127590128759904,0.31648205949783165,0.3703186787625029,0.22723379960034257,0.4094650205761317,0.9979214885288565,0.33800424628450104,81,3231,0.8024691358024691,0.040235221293717115,16
